sym,name,or_min,dir,stop,n,sharpe,t,h1_sharpe,h2_sharpe,h2_t
6857.T,アドバン,30,short,orrange,195,-0.7867505245641303,-0.6920764581834399,-0.8594807569505737,-0.7087651935775963,-0.44199275367297924
8058.T,三菱商事,15,both,none,291,-0.7963316955645193,-0.855736833906648,-1.1800829492585523,-0.5224003324297465,-0.3976304201993593
7203.T,トヨタ,60,long,orrange,127,-0.8132782372815357,-0.5773520884825529,-4.504161466001319,2.282491403516188,1.1502675473041164
6920.T,レーザー,15,both,orrange,333,-0.8360876590695373,-0.9611112471841796,-0.2516996311649662,-1.353611461208956,-1.1019248778553643
5020.T,ENEOS,15,short,orrange,163,-0.8617571425010878,-0.6930721112250913,-2.3591898489056695,0.18938071488280717,0.10802951029623721
5706.T,三井金属,15,both,none,330,-0.8632147563828433,-0.9878148607145836,-0.37977812028160407,-1.1622021199458776,-0.9404232660171093
6920.T,レーザー,60,both,none,290,-0.8929716028325171,-0.9579357398936497,-0.6129719355265981,-1.1411813798500916,-0.865642175031954
9101.T,日本郵船,15,short,none,178,-0.9022471538393048,-0.758289865150787,-1.9056202451335198,0.22089202814088146,0.13127280815521805
8035.T,TEL,15,short,none,204,-0.9035666217351013,-0.8129708856303445,-0.8447627148985537,-0.9551312507474751,-0.6076631077258856
5020.T,ENEOS,30,both,orrange,275,-0.9096626897432615,-0.9502687746471963,-1.1733302638373007,-0.7136115465657996,-0.5280817285686162
7203.T,トヨタ,30,long,none,149,-0.914277815107248,-0.7030254476089006,-2.437369518654461,0.2534263097893529,0.138255386631314
6920.T,レーザー,15,short,none,224,-0.9218974576124336,-0.8691732584485193,0.554359813647029,-2.1706494468179316,-1.4470996312119542
5713.T,住友鉱山,60,short,none,171,-0.9275486759868742,-0.7640723689587605,1.1005761006187869,-2.020460820704451,-1.1803189739180922
6857.T,アドバン,30,short,none,195,-0.9685252370082239,-0.85197720848204,-1.6526038619906698,-0.18041718911938054,-0.11250988472825357
6920.T,レーザー,60,short,orrange,169,-0.9948345087678869,-0.8146928851486703,0.036649352314050074,-1.6599748928707856,-0.9640747575688393
8035.T,TEL,15,long,orrange,200,-1.009435126268568,-0.8992762849218747,-0.45463382438968547,-1.6081227173952517,-1.013022092357438
7203.T,トヨタ,30,both,none,276,-1.0454899952192738,-1.0941431653599722,-2.12084482612467,-0.14809682143176667,-0.10959355385093089
7203.T,トヨタ,15,both,orrange,278,-1.0579874085578438,-1.1112265944709758,-1.9753472904079385,-0.11896409433600852,-0.08835335235923368
8035.T,TEL,15,both,orrange,320,-1.0726291079862578,-1.208716072480319,-0.5982907994187694,-1.5586884848105371,-1.241992713390421
6920.T,レーザー,15,both,none,333,-1.1072038024765665,-1.2727684901719305,-0.42926380032728695,-1.703016737212091,-1.3863627517323345
7203.T,トヨタ,15,long,none,159,-1.1367944015742546,-0.9029843384899298,-2.519910679538005,-0.24132283632482904,-0.13597001458872177
8031.T,三井物産,15,both,none,293,-1.1567422505562726,-1.247297748701904,-1.6482732328655514,-0.8558588446715676,-0.6536729899841517
8058.T,三菱商事,15,short,orrange,187,-1.164231437509465,-1.0029051354431582,-3.2237151102044415,0.24154237448874485,0.14752206662115047
5706.T,三井金属,30,short,orrange,196,-1.166624630167352,-1.0288662149285048,-2.1385862592208027,-0.9828347086287287,-0.6129051245864162
5706.T,三井金属,15,short,none,212,-1.1691351033476678,-1.0723396403120429,-1.3833869999616388,-1.2046804935931812,-0.7813120825218697
8058.T,三菱商事,60,both,none,265,-1.17430787089207,-1.2042166797067455,-0.8246130547046658,-1.437447862094686,-1.0442816612465544
8058.T,三菱商事,15,short,none,187,-1.1980460244096367,-1.0320340712908433,-2.852551724914919,-0.28975028067569863,-0.176965057579697
9101.T,日本郵船,30,both,none,271,-1.2355335135469085,-1.28126482972361,-1.1557724478487077,-1.307759835046218,-0.9607207672007793
5020.T,ENEOS,30,short,none,145,-1.2482309131192812,-0.9468445083783581,-3.697450412845678,0.7801470522041987,0.41989203016773247
5020.T,ENEOS,60,both,none,261,-1.253313489530053,-1.2754977514134564,-2.0528697104447136,-0.5680584360698508,-0.409570238707049
8035.T,TEL,30,long,orrange,177,-1.3746610509458135,-1.1520782840374642,-1.1894227755428144,-1.5449632405047296,-0.918148403926516
5020.T,ENEOS,60,both,orrange,261,-1.3935082398904497,-1.4181740174382538,-1.9331395605306514,-0.9719503386369617,-0.7007763760381645
6920.T,レーザー,60,short,none,169,-1.4198653526435319,-1.162760429471275,0.1556022314574804,-2.3372064717732783,-1.3573950861186557
9101.T,日本郵船,15,both,none,283,-1.4211462771404106,-1.5060234321617487,-1.6777535375172399,-1.1499802503680032,-0.8632454216721931
5706.T,三井金属,30,short,none,196,-1.43092372164405,-1.261956104191056,-2.6846065572498796,-1.0939078484037048,-0.6821713969049518
8035.T,TEL,15,both,none,320,-1.501247887305295,-1.6917147191443558,-0.8811084568683679,-2.0949067031208903,-1.6692616169709875
8058.T,三菱商事,30,short,none,164,-1.5186852720277386,-1.225150481035481,-2.089195726685463,-1.266667668006037,-0.7225523885441392
7203.T,トヨタ,15,both,none,278,-1.5351231863557184,-1.6123724126289847,-1.8626799570214667,-1.310554719730905,-0.9733348838128636
8035.T,TEL,60,both,orrange,280,-1.540824055872642,-1.6241711633786968,-2.025969035544378,-1.0615320238421313,-0.7912192552013109
8031.T,三井物産,60,both,orrange,258,-1.5559802923928838,-1.5743949013263938,-1.160130898196468,-1.8717925100641024,-1.3392211206139786
8058.T,三菱商事,30,short,orrange,164,-1.5606170937488748,-1.25897762909477,-2.2414252555701513,-1.0939395026353103,-0.6240220860742488
8031.T,三井物産,30,both,orrange,280,-1.6339542159010856,-1.7223389715606476,-1.352102693857222,-1.87198106313932,-1.3952923032572817
5020.T,ENEOS,30,short,orrange,145,-1.6490739466926005,-1.2509036540633285,-3.233814561128682,-0.5548098989117443,-0.2986106967308399
8031.T,三井物産,15,both,orrange,293,-1.7078236142820464,-1.8415204841437738,-2.5587891916968375,-1.1049364090531977,-0.8439091220998277
8031.T,三井物産,60,both,none,258,-1.7382949644571963,-1.7588672185776786,-0.948435897052035,-2.2985859106098268,-1.6445812142548708
8035.T,TEL,60,short,orrange,155,-1.8487397907802379,-1.449911075779283,-2.534785368501729,-1.2938867365066824,-0.719852126511359
8031.T,三井物産,30,both,none,280,-1.8702503064308966,-1.9714169209831633,-1.0008553355804513,-2.506825004130398,-1.8684770389772536
8058.T,三菱商事,60,short,orrange,145,-1.9702083835784951,-1.4944999108302282,-3.652668161665104,-0.9044972859927222,-0.4868200176154484
8035.T,TEL,60,both,none,280,-1.971715000570297,-2.0783700995074446,-2.34399154166393,-1.6112762186445537,-1.2009743851393455
8035.T,TEL,30,both,orrange,304,-1.9967111243299938,-2.193066288077253,-1.6700373522041179,-2.2929724423218087,-1.7808213710737353
8035.T,TEL,30,short,orrange,189,-2.0867778133683723,-1.8072025984307527,-2.1599491810222835,-2.0275902412831144,-1.2449208040756303
8035.T,TEL,30,both,none,304,-2.1309442208845386,-2.34049977267647,-1.8890189214374635,-2.3457130010142846,-1.8217819654133807
8058.T,三菱商事,60,short,none,145,-2.148792389656291,-1.629964658307452,-2.894000820513202,-1.8961269501452194,-1.0205365671802022
8035.T,TEL,60,short,none,155,-2.3046285251695293,-1.8074509137870252,-2.694030798511844,-2.0282163099306585,-1.1283953861915683
5020.T,ENEOS,60,short,none,128,-2.44262064152612,-1.7408475364671827,-5.045217806401883,-0.3251277545810869,-0.16384898722788516
8035.T,TEL,30,short,none,189,-2.5029543088535156,-2.1676220159788664,-2.12592490603937,-2.820217919012125,-1.7315865345570276
5020.T,ENEOS,60,short,orrange,128,-2.741978726174926,-1.9541990390798882,-5.191713425391069,-1.0683661348015543,-0.538405924161566
8031.T,三井物産,60,short,orrange,140,-2.968993224531384,-2.212956891596157,-3.4788928254098703,-2.6264412916317466,-1.3842561037118095
8031.T,三井物産,15,short,none,187,-3.00460913450338,-2.5882636681234312,-3.5665873473610428,-2.798567293150654,-1.7092256857116432
8031.T,三井物産,30,short,none,165,-3.1199240778236783,-2.5245601781633273,-3.0622759186855655,-3.3574058437365024,-1.9268265318862388
8031.T,三井物産,15,short,orrange,187,-3.124459854706439,-2.6915068025257622,-4.0197321033290185,-2.5172441948445434,-1.5374075319064346
8031.T,三井物産,60,short,none,140,-3.147046482774839,-2.3456699546120534,-2.915838206767508,-3.4930149862827857,-1.8409805429592352
8031.T,三井物産,30,short,orrange,165,-3.2619929822817166,-2.639518584138462,-3.967434960667341,-2.7982053255458483,-1.605899469373254
