date,atm_iv,atm_iv_next,skew,term,dte_near,iv_chg5,rv20,vrp,skew_z,ivchg5_z,atm_z
2016-07-19,28.128935714285717,25.17174285714286,2.6326874999999994,2.957192857142857,24,,38.16572142484927,-10.036785710563557,,,
2016-07-20,27.50740833333333,24.797075,2.9257500000000007,2.710333333333331,23,,37.99869520525901,-10.49128687192568,,,
2016-07-21,29.485925,26.075008333333336,2.1716250000000024,3.4109166666666653,22,,37.93531349786633,-8.44938849786633,,,
2016-07-22,28.858,25.623064285714285,4.1042375,3.234935714285715,21,,38.07514654617788,-9.217146546177883,,,
2016-07-25,30.0489,25.513864285714284,4.6333375,4.535035714285716,18,,21.81487120157925,8.234028798420749,,,
2016-07-26,31.07337857142857,25.944792857142858,5.0705124999999995,5.1285857142857125,17,2.944442857142853,21.751011647559274,9.322366923869296,,,
2016-07-27,32.014964285714285,26.381735714285718,3.650450000000003,5.6332285714285675,16,4.5075559523809545,22.25587843399478,9.759085851719504,,,
2016-07-28,32.37535,26.450464285714283,7.07805892857143,5.924885714285715,15,2.8894249999999957,22.465287356814656,9.910062643185341,,,
2016-07-29,25.431241666666665,23.654533333333333,2.2102874999999997,1.7767083333333318,14,-3.4267583333333356,22.46892388248685,2.9623177841798167,,,
2016-08-01,24.179178571428572,22.264792857142858,3.9585749999999997,1.9143857142857144,11,-5.869721428571427,22.42919350117763,1.7499850702509434,,,
2016-08-02,22.959972916666665,21.78565,4.4938,1.1743229166666644,10,-8.113405654761905,23.255271746454298,-0.2952988297876331,,,
2016-08-03,23.853766666666665,22.510358333333336,5.5864875000000005,1.343408333333329,9,-8.16119761904762,24.24396102565907,-0.39019435899240307,,,
2016-08-04,21.7411,21.612857142857145,3.1051714285714276,0.12824285714285466,8,-10.634249999999998,23.248724311488463,-1.5076243114884633,,,
2016-08-05,20.0011,20.160271428571427,4.1593017857142875,-0.15917142857142608,7,-5.430141666666664,23.007441373749863,-3.006341373749862,,,
2016-08-08,18.117221428571426,19.784221428571428,4.91685,-1.6670000000000016,32,-6.061957142857146,23.506378973433165,-5.389157544861739,,,
2016-08-09,17.680135714285715,19.622407142857142,4.797812499999999,-1.942271428571427,31,-5.27983720238095,19.774903170304086,-2.0947674560183707,,,
2016-08-10,17.3082,19.66605,4.390162499999999,-2.357849999999999,30,-6.545566666666666,18.19313481687258,-0.8849348168725797,,,
2016-08-12,16.523514285714285,19.9176625,5.071275,-3.394148214285714,28,-5.217585714285715,18.33709145193572,-1.8135771662214353,,,
2016-08-15,16.883235714285714,19.906599999999997,5.1553875,-3.0233642857142833,25,-3.117864285714287,18.2033636019642,-1.3201278876784848,,,
2016-08-16,17.353592857142857,20.52795,5.798124999999999,-3.1743571428571435,24,-0.7636285714285691,19.128704187076874,-1.7751113299340169,,,
2016-08-17,16.95077857142857,20.276933333333332,6.060575,-3.3261547619047604,23,-0.7293571428571433,18.769886412271198,-1.8191078408426264,,,
2016-08-18,18.464157142857143,21.175516666666667,6.580637500000002,-2.7113595238095236,22,1.1559571428571438,19.569461168249937,-1.105304025392794,,,
2016-08-19,17.986508333333333,21.168799999999997,6.7975125,-3.1822916666666643,21,1.4629940476190484,19.395170130853728,-1.408661797520395,,,
2016-08-22,17.460814285714285,21.043225,7.142424999999999,-3.5824107142857144,18,0.577578571428571,19.05931982167953,-1.598505535965245,,,
2016-08-23,17.523735714285714,21.392166666666668,7.1414875,-3.8684309523809546,17,0.17014285714285649,19.178466869995408,-1.654731155709694,,,
2016-08-24,17.431035714285713,21.439012499999997,7.832012499999998,-4.007976785714284,16,0.48025714285714116,18.56019837081277,-1.1291626565270576,,,
2016-08-25,17.532575,21.5621,7.918962499999999,-4.029525,15,-0.9315821428571418,17.537670274763624,-0.0050952747636223705,,,
2016-08-26,18.75467857142857,22.230150000000002,6.777950000000001,-3.4754714285714314,14,0.7681702380952373,17.58178699001566,1.1728915814129088,,,
