sym,name,n,sharpe,tstat,mean_bp,wr
5713.T,住友鉱山,146,-0.4718698825818026,-0.3591686452758094,-1.2438003971650102,49.31506849315068
6920.T,レーザー,213,-0.48666681326653055,-0.44742604718259366,-1.7556426559093803,48.82629107981221
5706.T,三井金属,179,-0.5557031513240107,-0.46834846882027703,-1.866904241018283,50.83798882681564
8058.T,三菱商事,88,-0.9132462066683255,-0.539670827771097,-2.232629107333503,47.72727272727273
6146.T,ディスコ,193,-1.4148972243758238,-1.2382355790751323,-4.46818969337175,46.1139896373057
6857.T,アドバン,204,-1.6749108817400538,-1.5069766303068561,-4.520483992100464,44.6078431372549
8035.T,TEL,170,-2.1590884467001357,-1.7733506718121463,-6.708226940177303,47.05882352941176
8031.T,三井物産,98,-2.4532518586740153,-1.5298713231040886,-4.719481881021503,43.87755102040816
5711.T,三菱マテ,148,-2.893737831574829,-2.2176334791051815,-5.179350556214308,45.27027027027027
6503.T,三菱電機,154,-3.0260529082389955,-2.365574375143951,-6.3261541562916115,41.55844155844156
7267.T,ホンダ,80,-3.1265372834916088,-1.7616041918068475,-5.570958310910447,42.5
7203.T,トヨタ,135,-3.1892053098179693,-2.334259270874404,-6.871305690469122,31.11111111111111
